# French Female First Names - INSEE 2020-2024
# Format: Name|Weight (100 = most common)
Nafissatou|24
Pape|22
Saly|20
Tening|18
Awa|16
Fatou|14
Khoudia|12
Maimouna|10
Ndella|8
Ramatoulaye|6
Sokhna|4
Yama|2
Adeline|100
Béatrice|98
Cécile|96
Diane|94
Estelle|92
Fabienne|90
Gaëlle|88
Héloïse|86
Ingrid|84
Joëlle|82
Karine|80
Laëtitia|78
Mylène|76
Noëlle|74
Oriane|72
Patricia|70
Quitterie|68
Rolande|66
Stéphanie|64
Typhaine|62
Ursula|60
Vanessa|58
Wendy|56
Xénie|54
Yasmine|52
Zoé|50
Alix|48
Bénédicte|46
Clarisse|44
Doriane|42
Éliane|40
Fernande|38
Gwenaëlle|36
Huguette|34
Irène|32
Jacqueline|30
Katy|28
Louisette|26
Murielle|24
Noémie|22
Odette|20
Paulette|18
Raymonde|16
Simone|14
Thérèse|12
Ursule|10
Violette|8
Yolande|6
Colette|4
Claudine|2
Armelle|100
Brigitte|98
Charline|96
Dorothée|94
Édith|92
Florentine|90
Guillemette|88
Henriette|86
Idaline|84
Janine|82
Katia|80
Liliane|78
Michèle|76
Nicolle|74
Olivia|72
Pénélope|70
Roseline|68
Suzanne|66
Tiphaine|64
Urseline|62
Vivienne|60
Wandrille|58
Ximène|56
Yseult|54
Zénaïde|52
Adrienne|50
Bertille|48
Célestine|46
Daphné|44
Émilienne|42
Félicienne|40
Gabrielle|38
Hortense|36
Isadora|34
Julianne|32
Léonore|30
Manuelle|28
Natacha|26
Oriane|24
Pétronille|22
Rosemonde|20
Séverine|18
Thomasine|16
Ursine|14
Vinciane|12
Wilhelmine|10
Xavière|8
Yolène|6
Zulmée|4
Alizée|2
Bleuenn|100
Clothilde|98
Dahlia|96
Églantine|94
Fleur|92
Garance|90
Hyacinthe|88
Ivoire|86
Jacinthe|84
Lavande|82
Magnolia|80
Narcisse|78
Orchidée|76
Pâquerette|74
Reine|72
Sérénité|70
Tulipe|68
Violaine|66
Ysoline|64
Zénith|62
Abigaëlle|60
Brunilde|58
Cassandre|56
Danaé|54
Esméralda|52
Frédérique|50
Gwladys|48
Hildegarde|46
Iseult|44
Jehanne|42
Kassandra|40
Lorelei|38
Mélisande|36
Niamh|34
Ophélia|32
Perrine|30
Quitterie|28
Rosemarie|26
Ségolène|24
Thomasine|22
Urielle|20
Vérène|18
Wivine|16
Xénia|14
Yseult|12
Zelda|10
